Date,Name,US $ TO UK £ 1M FWD (BBI) - EXCHANGE RATE,ITL.LIRA TO US $ 1M FWD (BBI) DISC - EXCHANGE RATE,BELGIAN FR.TO US $ 1MF FN(BBI) DISC - EXCHANGE RATE,FRENCH FR. TO US $ 1M FWD(BBI) DISC - EXCHANGE RATE,CHF TO US$ 1M FWD (BBI) DISC - EXCHANGE RATE,GERMAN MARK TO US $ 1M FWD(BBI) DISC - EXCHANGE RATE,NETH. GUILDER TO US $ 1MFWD(BBI)DISC - EXCHANGE RATE,JPY TO US$ 1M FWD (BBI) DISC - EXCHANGE RATE,HONG KONG $ TO US $ 1M FWD (BBI) - EXCHANGE RATE,SOUTH AFRICA RAND TO US $ 1M FWD(BBI) - EXCHANGE RATE,CANADIAN $ TO US $ 1M FWD (BBI) - EXCHANGE RATE,SINGAPORE $ TO US $ 1M FWD (BBI) - EXCHANGE RATE,MALAYSIAN RGT. TO US $ 1M (BBI)DISC' - EXCHANGE RATE,AUD$ TO US$ 1M FWD (BBI) DISC - EXCHANGE RATE,NZD TO US$ 1M FWD (BBI) DISC - EXCHANGE RATE,SEK TO US$ 1M FWD (BBI) DISC - EXCHANGE RATE,NOK TO US$ 1M FWD (BBI) DISC - EXCHANGE RATE,DKK TO US $ 1M FWD (BBI) DISC - EXCHANGE RATE,EURO TO US $ 1M FWD (BBI) - EXCHANGE RATE
1983-10-31,30600.0,0.6610696106299992,,52.63,7.9477,2.0883000000000003,2.5740000000000003,2.8882000000000003,231.69,8.945,1.12,,,,,,,,,
1983-11-30,30620.0,0.6692096633875393,,53.48,8.0197,2.1306000000000003,2.6203000000000003,2.938,233.31,7.802,1.1800000000000002,,,,,,,,,
1983-12-31,30649.0,0.6839945280437757,,55.1,8.2677,2.1684,2.7055,3.0344,233.9,7.8235,1.21,,,,,,,,,
1984-01-31,30680.0,0.6885629690835228,,55.63,8.333,2.1672,2.7119,3.0503,230.865,7.81,1.23,,,,,,,,,
1984-02-29,30711.0,0.7104290991759022,,57.5,8.6155,2.2276,2.8028,3.1535,233.895,7.7805,1.28,,,,,,,,,
1984-03-31,30740.0,0.6690753378830455,1618.4,53.52,8.0562,2.1503,2.5912,2.9298,232.525,7.7575,1.21,,,,,,,,,
1984-04-30,30771.0,0.6919936336585704,1619.51,53.1,7.9925000000000015,2.1396,2.5789999999999997,2.9142,223.585,7.795000000000001,1.24,,,,,,,,,
1984-05-31,30802.0,0.7149495960534782,1683.75,55.45,8.349,2.2314000000000003,2.7071,3.0482,225.89,7.8207,1.26,,,,,,,,,
1984-06-30,30832.0,0.7202535292422932,1699.21,55.91,8.4115,2.2472000000000003,2.7209000000000003,3.0695,230.545,7.827999999999999,1.29,,,,,,,,,
1984-07-31,30862.0,0.735348187366718,1717.0,56.65,8.536,2.3152,2.7662,3.1189999999999998,236.255,7.8315,1.36,,,,,,,,,
1984-08-31,30893.0,0.7651109410864575,1788.91,58.56,8.883000000000003,2.4485,2.8783000000000003,3.2547,244.455,7.8835000000000015,1.64,,,,,,,,,
1984-09-30,30924.0,0.7622532205198567,1791.75,58.14,8.847999999999999,2.3865000000000003,2.8672,3.2379,240.125,7.8505,1.57,,,,,,,,,
1984-10-31,30956.0,0.8067118425298483,1895.46,61.88,9.365,2.5026,3.0355000000000003,3.4240000000000004,245.275,7.808000000000002,1.7000000000000002,,,,,,,,,
