Date,Name,US $ TO UK £ (BBI) - EXCHANGE RATE,ITALIAN LIRA TO US $ (BBI) - EXCHANGE RATE,BELGIAN FR.TO US $ SPT FN(BBI) DISC - EXCHANGE RATE,FRENCH FRANC TO US $ (BBI) - EXCHANGE RATE,SWISS FRANC TO US $ (BBI) - EXCHANGE RATE,GERMAN MARK TO US $ (BBI) - EXCHANGE RATE,NETH. GUILDER TO US $ (BBI) - EXCHANGE RATE,JAPANESE YEN TO US $ (BBI) - EXCHANGE RATE,HONG KONG $ TO US $ (BBI) - EXCHANGE RATE,SOUTH AFRICA RAND TO US $ (BBI) - EXCHANGE RATE,CANADIAN $ TO US $ (BBI) - EXCHANGE RATE,SINGAPORE $ TO US $ (BBI) - EXCHANGE RATE,MALAYSIAN RINGGIT TO US $ (BBI) DISC - EXCHANGE RATE,AUSTRALIAN $ TO US $ (BBI) - EXCHANGE RATE,NEW ZEALAND $ TO US $ (BBI) - EXCHANGE RATE,SWEDISH KRONA TO US $ (BBI) - EXCHANGE RATE,NORWEGIAN KRONE TO US $ (BBI - EXCHANGE RATE,DANISH KRONE TO US $ (BBI) - EXCHANGE RATE,EURO TO US $ (BBI) - EXCHANGE RATE
1983-10-31,30600.0,0.6612444620776301,1572.5,52.65,7.9225,2.0995,2.583,2.8972,232.325,8.345,1.1129,,,,,,,,,
1983-11-30,30620.0,0.6694336591243808,1598.13,53.51,8.0025,2.1412,2.6300000000000003,2.9467000000000003,233.95,7.7995,1.1737,,,,,,,,,
1983-12-31,30649.0,0.6844626967830254,1644.0,55.07,8.249500000000001,2.1797,2.714,3.0447,234.5,7.809,1.2074,,,,,,,,,
1984-01-31,30680.0,0.6889424733034791,1654.29,55.6,8.315000000000001,2.1795,2.7212,3.06,231.6,7.77,1.2214,,,,,,,,,
1984-02-29,30711.0,0.7106310403638431,1712.0,57.44,8.5975,2.2395,2.8115,3.1630000000000003,234.52,7.8005,1.2658,,,,,,,,,
1984-03-31,30740.0,0.6695681285570807,1619.3,53.34,8.015,2.1625,2.6007,2.94,233.15,7.777,1.2007,,,,,,,,,
1984-04-30,30771.0,0.693000693000693,1612.51,53.09,7.975,2.1519999999999997,2.5907,2.9210000000000003,224.4,7.814500000000002,1.2403,,,,,,,,,
1984-05-31,30802.0,0.7163323782234957,1678.0,55.39,8.3375,2.246,2.7195,3.0617,226.85,7.8172000000000015,1.2539,,,,,,,,,
1984-06-30,30832.0,0.7217610970768674,1693.96,55.88,8.4025,2.261,2.7335000000000003,3.083,231.45,7.814500000000002,1.2846,,,,,,,,,
1984-07-31,30862.0,0.7371913011426465,1712.5,56.66,8.5355,2.3307,2.781,3.1345,237.425,7.819,1.3559,,,,,,,,,
1984-08-31,30893.0,0.764525993883792,1783.91,58.57,8.8835,2.4635,2.8945000000000003,3.2707,245.7,7.8485,1.6221,,,,,,,,,
1984-09-30,30924.0,0.7628928898382668,1789.0,58.17,8.8535,2.4005,2.8825000000000003,3.2532,241.2,7.842,1.5576,,,,,,,,,
1984-10-31,30956.0,0.8071025020177562,1888.41,61.9,9.365,2.5175,3.0515000000000003,3.44,246.425,7.8105,1.6793,,,,,,,,,
1984-11-30,30985.0,0.8233841086867024,1886.93,61.53,9.34,2.5092000000000003,3.0435000000000003,3.4457,245.65,7.82,1.9231,,,,,,,,,
1984-12-31,31015.0,0.8316008316008316,1904.52,61.97,9.4205,2.5285,3.0805,3.463,245.95,7.8277,1.8493,1.3217,2.1737,2.415,1.193,2.0661,8.85,8.956000000000003,11.093,
1985-01-31,31047.0,0.8630361612151549,1936.19,63.25,9.64,2.6025,3.1515,3.5575,251.55,7.8197,1.9881,1.3215,2.1775,2.4285,1.2114,2.1008,8.98,9.09,11.29,
1985-02-28,31077.0,0.8851907586084802,1954.45,63.3,9.675,2.6750000000000003,3.1689999999999996,3.5839999999999996,254.52,7.799200000000001,1.9743,1.3277,2.2072000000000003,2.4897,1.2259,2.1263,9.0475,9.1775,11.3175,
1985-03-31,31105.0,0.9182736455463728,2069.34,66.85,10.185,2.83,3.3275,3.765,258.85,7.7975,2.0202,1.3835000000000002,2.245,2.545,1.3889,2.241,9.405,9.545,11.935,
1985-04-30,31138.0,0.8181966944853543,1990.5,62.7,9.47,2.6375,3.1215,3.5145,252.4,7.797700000000002,1.9436,1.3672,2.22,2.5295,1.4749,2.1669,8.975,8.955,11.155,
1985-05-31,31166.0,0.8126777732629014,1985.5,62.57,9.51,2.6135,3.1142000000000003,3.5165,252.63,7.779000000000001,1.9493,1.3682,2.2230000000000003,2.483,1.527,2.2,9.025,8.975,11.265,
1985-06-30,31197.0,0.7849293563579278,1966.5,61.97,9.38,2.5955,3.08,3.4715000000000003,251.525,7.7725,2.0,1.3775000000000002,2.221,2.47,1.5049,2.2222,8.907,8.852,11.0775,
1985-07-31,31229.0,0.7655795437145919,1937.0,61.1,9.245,2.5469999999999997,3.0417,3.4275,247.85,7.756,1.9751,1.3575000000000002,2.2270000000000003,2.495,1.4969999999999999,2.0513,8.752500000000001,8.745000000000001,10.8975,
1985-08-31,31258.0,0.7032348804500702,1886.5,56.82,8.5625,2.2905,2.8139999999999996,3.165,236.775,7.746,2.0471,1.3505,2.1919999999999997,2.4592,1.3866,1.8939,8.285,8.215,10.105,
1985-09-30,31289.0,0.7182876023559833,1876.0,56.9,8.585,2.3085,2.813,3.1540000000000004,238.9,7.803999999999999,2.25,1.3655000000000002,2.26,2.48,1.4255,1.8416,8.315000000000001,8.235000000000001,10.185,
1985-10-31,31320.0,0.710126402499645,1809.0,54.17,8.17,2.1950000000000003,2.6790000000000003,3.02,216.15,7.7650000000000015,2.5592,1.3707,2.1375,2.4450000000000003,1.4235,1.8281,8.040000000000001,7.9700000000000015,9.7225,
1985-11-30,31350.0,0.693721817551162,1770.0,53.07,7.995,2.1462,2.6210000000000004,2.9575,211.425,7.793500000000001,2.5543,1.3659999999999999,2.133,2.4425000000000003,1.4261,1.7316,7.86,7.857500000000001,9.4875,
1985-12-31,31380.0,0.6718172657037285,1714.5,51.05,7.6675,2.081,2.5107,2.8205,202.075,7.7985000000000015,2.7027,1.3835000000000002,2.0940000000000003,2.4182,1.4571,1.7422000000000002,7.6325,7.572500000000002,9.105,
1986-01-31,31411.0,0.6948787436592314,1679.5,50.38,7.5550000000000015,2.076,2.4650000000000003,2.7769999999999997,200.95,7.807,2.6076,1.399,2.1095,2.435,1.4669,1.9980000000000002,7.5975,7.5875,8.97,
1986-02-28,31442.0,0.7079646017699115,1616.5,48.54,7.285,2.0122,2.379,2.685,192.975,7.8035,2.2831,1.4169999999999998,2.1435,2.4755000000000003,1.3957000000000002,1.867,7.495,7.41,8.745000000000001,
1986-03-31,31470.0,0.6759040216289287,1513.5,45.45,6.8450000000000015,1.8745,2.221,2.5125,180.15,7.800000000000002,1.9802,1.409,2.1535,2.4825,1.4331,1.9194,7.15,6.9525000000000015,8.205,
1986-04-30,31502.0,0.6745362563237773,1583.0,47.75,7.16,1.952,2.3227,2.6215,179.45000000000005,7.816000000000002,2.0834,1.3969999999999998,2.173,2.572,1.4039,1.8727,7.3450000000000015,7.2425000000000015,8.585,
1986-05-31,31531.0,0.6445375443119561,1492.0,44.26,6.925000000000002,1.8185,2.1757,2.452,167.8,7.7895,2.0513,1.3795000000000002,2.1895,2.5875,1.3507,1.7094,7.0125,6.915,8.0525,
1986-06-30,31562.0,0.6791171477079797,1591.5,47.45,7.3925,1.929,2.325,2.611,174.4,7.8085,2.3447,1.379,2.2390000000000003,2.6395,1.3989,1.773,7.380000000000001,7.82,8.595,
1986-07-31,31593.0,0.6525285481239804,1508.5,45.4,7.005,1.7950000000000002,2.1985,2.4752,163.75,7.8075,2.4691,1.3865,2.188,2.6232,1.4851,1.8157,7.115,7.5075,8.15,
1986-08-31,31623.0,0.6715916722632639,1451.0,44.05,6.8500000000000005,1.6942000000000002,2.1145,2.3805,155.75,7.8077,2.6076,1.3836000000000002,2.1795,2.6289999999999996,1.6371,1.9231,7.0025,7.442500000000001,7.9525000000000015,
1986-09-30,31656.0,0.6711409395973155,1396.25,42.42,6.635000000000002,1.633,2.0215,2.282,153.82500000000005,7.8002,2.4938,1.3865,2.145,2.6025,1.6408,2.0576000000000003,6.87,7.277500000000002,7.6725,
1986-10-31,31684.0,0.6970098278385725,1400.5,42.45,6.6355,1.642,2.02,2.289,153.70000000000005,7.8009,2.2124,1.3879,2.1710000000000003,2.6210000000000004,1.5925,2.0325,6.9125000000000005,7.3675000000000015,7.652500000000002,
1986-11-30,31715.0,0.7155635062611807,1419.0,42.75,6.697500000000002,1.7020000000000002,2.0515,2.3200000000000003,161.8,7.7987,2.2779000000000003,1.3877000000000002,2.189,2.6210000000000004,1.5573,1.9743,7.010000000000002,7.49,7.7275,
1986-12-31,31747.0,0.6955070246209487,1363.0,41.05,6.4350000000000005,1.6369999999999998,1.9645,2.2225,162.25,7.7865,2.2124,1.3827,2.1903,2.596,1.5383,2.008,6.8525,7.4775,7.4125,
1987-01-31,31776.0,0.6809669731018047,1355.5,41.0,6.45,1.6262,1.9457,2.2007000000000003,159.9,7.791,2.2026,1.383,2.178,2.5995,1.5059,1.9084,6.8125,7.4225,7.3775,
1987-02-28,31807.0,0.6607201850016517,1302.5,38.7,6.11,1.5425,1.8319999999999999,2.06,153.675,7.760000000000002,2.0842,1.3415,2.14,2.535,1.5109,1.8484,6.535,7.0375000000000005,6.94,
1987-03-31,31835.0,0.6469560716827327,1299.0,38.35,6.0825000000000005,1.536,1.8272,2.061,153.20000000000005,7.795000000000001,2.0747,1.3324,2.1345,2.5147,1.4776,1.7841,6.465000000000002,6.985,6.8825,
1987-04-30,31866.0,0.6211180124223602,1286.5,38.03,6.0085000000000015,1.5055,1.8045,2.0342,146.3,7.797700000000002,2.0069999999999997,1.3072,2.134,2.51,1.423,1.7668,6.3175,6.8050000000000015,6.822500000000002,
1987-05-31,31896.0,0.6024096385542169,1281.75,37.45,5.9775,1.473,1.7935,2.0237000000000003,140.25,7.8025,2.004,1.3357,2.129,2.4805,1.4155,1.7109,6.275,6.715000000000002,6.7625,
1987-06-30,31929.0,0.6157635467980295,1323.5,38.1,6.1155,1.521,1.8345,2.0669999999999997,145.45000000000005,7.808000000000002,2.0367,1.3375,2.1245000000000003,2.5069999999999997,1.3981,1.7271,6.3725000000000005,6.785,6.8925,
1987-07-31,31957.0,0.6248047485160887,1326.0,38.02,6.1075,1.5215,1.829,2.0595,146.72,7.807,2.045,1.334,2.121,2.52,1.3869999999999998,1.6906,6.3875,6.705,6.9325,
1987-08-31,31988.0,0.6271558482282847,1343.7,38.6,6.1707,1.5385,1.8565,2.0895,149.70000000000005,7.808000000000002,2.0747,1.3321,2.1125000000000003,2.5460000000000003,1.4325,1.773,6.4675,6.7825000000000015,7.035,
1987-09-30,32020.0,0.6126324817741836,1313.0,37.87,6.0575,1.4905000000000002,1.8105,2.04,142.20000000000005,7.8075,2.0387,1.3190000000000002,2.1055,2.516,1.4071,1.6529,6.3795,6.6745,6.979500000000002,
1987-10-31,32049.0,0.6144393241167434,1324.8,38.3,6.1175000000000015,1.5287000000000002,1.84,2.0695,146.15,7.807,2.0747,1.31,2.0935,2.528,1.3918,1.5444,6.4325,6.705,7.0525,
1987-11-30,32080.0,0.5808887598024978,1274.0,36.3,5.87,1.4297,1.7295,1.9427,138.275,7.804200000000002,2.0068,1.3155,2.0700000000000003,2.5145,1.4925000000000002,1.6878000000000002,6.1925,6.5575,6.6775,
1987-12-31,32111.0,0.5470459518599562,1210.5,34.42,5.5687000000000015,1.344,1.6385,1.8432,132.25,7.7675,1.9417,1.3087,2.025,2.4865,1.4175,1.5419999999999998,5.95,6.3825,6.325,
1988-01-31,32141.0,0.5380683346785041,1176.5,33.58,5.4025,1.2895,1.594,1.7941,123.375,7.7595,1.9305,1.3055,1.9935,2.4890000000000003,1.3889,1.5174,5.8325000000000005,6.2725,6.15,
1988-02-29,32174.0,0.5688282138794084,1246.0,35.37,5.7015,1.3805,1.6911,1.8991,129.3,7.8035,1.994,1.275,2.0235000000000003,2.559,1.4093,1.5037,6.064500000000002,6.3995000000000015,6.4765000000000015,
1988-03-31,32202.0,0.5637614161686774,1244.5,35.35,5.7185000000000015,1.392,1.6880000000000002,1.8946,128.3,7.800000000000002,2.0833,1.2615,2.0135,2.5825,1.3913,1.5037,5.9885,6.3525,6.4535,
1988-04-30,32232.0,0.5329070077271516,1232.5,35.1,5.6445,1.374,1.662,1.8685,125.03,7.8035,2.1285000000000003,1.237,2.0055,2.5645,1.3531,1.5384,5.9055,6.2775,6.4,
1988-05-31,32262.0,0.5320563979781857,1245.5,35.160000000000004,5.6925,1.3935,1.6745,1.8777,124.95,7.817,2.1519999999999997,1.2297,2.0045,2.573,1.3197,1.4869999999999999,5.8725000000000005,6.1675,6.4535,
1988-06-30,32293.0,0.5389382915656158,1272.5,35.93,5.775,1.4360000000000002,1.7160000000000002,1.921,124.85,7.8153000000000015,2.2303,1.24,2.017,2.585,1.2391,1.4337,5.9405,6.2125,6.5315,
1988-07-31,32323.0,0.5863383172090296,1355.5,38.43,6.1595,1.515,1.8295,2.0645,133.7,7.8005,2.326,1.217,2.0460000000000003,2.6115,1.2718,1.5004000000000002,6.2735,6.6155,6.94,
1988-08-31,32356.0,0.5837711617046117,1381.5,39.8,6.327000000000001,1.5625,1.875,2.1165000000000003,132.72,7.8055,2.4530000000000003,1.2075,2.0433,2.639,1.2445000000000002,1.5083,6.4300000000000015,6.7985000000000015,7.1235,
1988-09-30,32385.0,0.5917159763313609,1387.0,39.85,6.3435000000000015,1.5755,1.8643,2.1077,134.45,7.803,2.4305000000000003,1.2385000000000002,2.039,2.67,1.2429999999999999,1.6537000000000002,6.4585,6.9,7.192500000000001,
1988-10-31,32415.0,0.5943536404160475,1402.0,39.85,6.4035,1.5935,1.8822,2.122,134.35,7.8085,2.4859999999999998,1.217,2.0399000000000003,2.6745,1.2758,1.6234000000000002,6.447500000000002,6.94,7.2200000000000015,
1988-11-30,32447.0,0.5649717514124294,1319.0,37.5,6.0675,1.496,1.778,2.006,125.3,7.809500000000001,2.4895,1.2195,1.9965,2.6705,1.2188,1.5962,6.1625000000000005,6.6115,6.8445,
1988-12-31,32476.0,0.5406866720735334,1277.5,36.5,5.899,1.4458,1.7269999999999999,1.9469999999999998,121.45,7.806,2.3125,1.195,1.9395,2.6795,1.1396,1.529,6.0125,6.4845000000000015,6.6625000000000005,
1989-01-31,32507.0,0.5534034311012729,1305.0,37.27,6.0600000000000005,1.5025000000000002,1.7755,2.004,125.05,7.8085,2.38,1.192,1.9435,2.71,1.1699000000000002,1.5873000000000002,6.125,6.565,6.86,
1989-02-28,32538.0,0.5676979846721544,1360.0,39.18,6.32,1.5803,1.86,2.0992,129.4,7.801,2.3965,1.1820000000000002,1.9305,2.7335000000000003,1.1344,1.6474,6.33,6.7275,7.2325,
1989-03-31,32566.0,0.5730659025787965,1339.5,38.3,6.1850000000000005,1.5545,1.8165,2.0512,126.55,7.7989999999999995,2.4795000000000003,1.2038,1.926,2.73,1.2523,1.6064,6.2735,6.6785000000000005,7.0895,
1989-04-30,32597.0,0.5932957579353307,1386.5,39.76,6.3905,1.652,1.8925,2.1325000000000003,132.7,7.7865,2.5575,1.194,1.9595,2.7605,1.2202,1.6273,6.44,6.8675000000000015,7.3525,
1989-05-31,32629.0,0.5920663114268798,1375.5,39.48,6.355,1.6735,1.8795,2.1187,132.85,7.7793,2.559,1.187,1.95,2.6950000000000003,1.2586000000000002,1.6247,6.3805000000000005,6.8295,7.3185,
1989-06-30,32658.0,0.641972138409193,1455.0,42.26,6.8125,1.7575,2.0105,2.2683,143.5,7.776000000000002,2.79,1.21,1.9595,2.7155,1.3405,1.7153,6.755,7.235,7.8395,
1989-07-31,32688.0,0.643915003219575,1413.5,40.9,6.6075,1.6769999999999998,1.956,2.1972,143.425,7.7945,2.7655000000000003,1.195,1.9582,2.7,1.3210000000000002,1.7361,6.6175000000000015,7.0950000000000015,7.56,
1989-08-31,32720.0,0.5998080614203455,1341.5,39.13,6.322500000000002,1.6098,1.8701,2.1067,137.0,7.806,2.6475,1.1815,1.9497,2.6595,1.3236,1.7094,6.3825,6.8500000000000005,7.2625,
1989-09-30,32750.0,0.6318316800404372,1392.5,40.66,6.5155,1.6745,1.945,2.1873,143.55,7.809500000000001,2.7510000000000003,1.1760000000000002,1.9635,2.6925000000000003,1.3038,1.6920000000000002,6.5675,7.067500000000001,7.53,
1989-10-31,32780.0,0.6186204763377667,1364.0,39.38,6.3500000000000005,1.6219999999999999,1.8725,2.1145,139.4,7.8005,2.6915,1.1785,1.9595,2.6875,1.2903,1.6920000000000002,6.415,6.905,7.285,
1989-11-30,32811.0,0.6338340622425048,1347.5,38.61,6.2335,1.608,1.8368,2.0735,141.85,7.808000000000002,2.6345,1.175,1.9545,2.6955,1.2766,1.6999000000000002,6.3975,6.88,7.15,
1989-12-31,32841.0,0.6383657835939993,1314.0,37.45,6.0775000000000015,1.5885,1.7825000000000002,2.0105,142.75,7.814,2.6025,1.166,1.9509999999999998,2.7015,1.2807000000000002,1.6971,6.3775,6.8075,6.9125000000000005,
1990-01-31,32874.0,0.6199628022318661,1268.5,35.57,5.7862,1.541,1.6915,1.909,143.65,7.806,2.5505,1.158,1.9,2.7,1.266,1.681,6.1979999999999995,6.5950000000000015,6.581,
1990-02-28,32903.0,0.5943536404160475,1247.5,34.980000000000004,5.7125,1.4897,1.6805,1.8935,144.0,7.811,2.5435000000000003,1.1905,1.8607,2.697,1.3072,1.6743,6.1475,6.485,6.487500000000002,
1990-03-31,32931.0,0.5911912503694945,1245.5,35.13,5.7025000000000015,1.4845000000000002,1.6833,1.898,148.70000000000005,7.808000000000002,2.5505,1.194,1.8655,2.7045000000000003,1.3149,1.7004,6.1055,6.503500000000002,6.4825,
1990-04-30,32962.0,0.6075334143377886,1246.75,35.1,5.6945000000000014,1.4962,1.6875,1.9067,158.25,7.807,2.6460000000000004,1.171,1.885,2.7275,1.3245,1.7256,6.1215,6.5625,6.46,
1990-05-31,32993.0,0.6108735491753208,1230.0,34.63,5.6315,1.4520000000000002,1.6785,1.889,158.85,7.792999999999999,2.6595,1.164,1.8745,2.7150000000000003,1.3333000000000002,1.7385000000000002,6.0925,6.5255,6.385000000000002,
1990-06-30,33023.0,0.5897965202005309,1234.5,34.5,5.66,1.421,1.6815,1.8895,151.3,7.7795,2.6555,1.179,1.848,2.7003,1.2962,1.7406,6.077000000000001,6.4625,6.402500000000002,
